,video_id,frame_seq,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
0,16,0,0,0.0,10.0,54.45181356024793,5.0990195135927845,8.246211251235321,13.152946437965905,15.132745950421556,8.06225774829855,31.25699921617557,23.08679276123039,18.0,7.0,14.0,2.5,20.5,10.5,2.5,5.385164807134504,5.0990195135927845,5.5,22.0,12.0,19.235384061671343
1,16,1,0,0.0336700336700336,10.04987562112089,54.589376255824725,5.0,9.055385138137417,13.152946437965905,15.132745950421556,8.06225774829855,32.14031735997639,23.08679276123039,18.0,6.0,14.0,2.0,22.0,11.0,3.0,5.385164807134504,5.0,5.0,23.0,13.0,18.24828759089466
2,16,2,0,0.0673400673400672,11.045361017187261,54.589376255824725,4.0,8.06225774829855,14.035668847618199,14.142135623730951,9.055385138137417,32.14031735997639,24.08318915758459,18.5,6.0,14.0,1.0,22.0,12.0,3.0,5.385164807134504,5.0,5.0,22.0,12.0,18.24828759089466
3,16,3,0,0.1010101010101008,11.0,55.44366510251645,4.123105625617661,8.06225774829855,13.038404810405298,15.132745950421556,9.055385138137417,32.14031735997639,24.08318915758459,18.5,7.0,14.0,1.5,21.5,11.5,2.5,5.385164807134504,5.0990195135927845,5.0,22.0,12.0,18.24828759089466
4,16,4,0,0.1346801346801344,12.0,54.589376255824725,5.0990195135927845,7.280109889280518,13.152946437965905,15.132745950421556,8.06225774829855,32.2490309931942,25.079872407968907,19.0,6.0,14.0,2.0,22.0,13.0,3.0,5.385164807134504,5.0,5.0,22.0,12.0,18.24828759089466
5,16,5,0,0.168350168350168,12.0,54.45181356024793,5.0990195135927845,7.0710678118654755,13.038404810405298,15.132745950421556,8.06225774829855,32.14031735997639,25.079872407968907,19.0,7.0,14.0,2.5,21.5,12.5,2.5,5.385164807134504,5.0,5.0,22.0,12.0,20.223748416156685
6,16,6,0,0.2020202020202016,12.0,54.589376255824725,5.0990195135927845,8.06225774829855,13.152946437965905,15.132745950421556,8.06225774829855,33.13608305156178,25.079872407968907,19.0,6.0,14.0,2.0,23.0,13.0,3.0,5.0990195135927845,5.0,5.0,22.0,12.0,18.24828759089466
7,16,7,0,0.2356902356902352,12.041594578792296,55.44366510251645,5.0,7.0710678118654755,14.142135623730951,14.142135623730951,8.06225774829855,32.14031735997639,25.079872407968907,19.0,7.0,14.0,2.5,21.5,12.5,2.5,5.0990195135927845,5.0,5.0,22.0,12.0,18.24828759089466
8,16,8,0,0.2693602693602688,11.045361017187261,55.57877292636101,4.123105625617661,8.06225774829855,13.152946437965905,15.132745950421556,9.055385138137417,32.2490309931942,24.186773244895647,18.5,6.0,14.0,1.0,22.0,12.0,3.0,5.385164807134504,5.0990195135927845,5.0,22.0,12.0,19.235384061671343
9,16,9,0,0.3030303030303024,11.045361017187261,55.57877292636101,4.123105625617661,8.06225774829855,13.152946437965905,15.132745950421556,9.055385138137417,32.2490309931942,24.186773244895647,18.5,6.0,14.0,1.0,22.0,12.0,3.0,5.385164807134504,5.0990195135927845,5.0,22.0,12.0,19.235384061671343
10,16,10,0,0.336700336700336,11.045361017187261,54.589376255824725,5.0,8.06225774829855,13.152946437965905,15.132745950421556,8.06225774829855,32.14031735997639,24.08318915758459,18.5,6.0,14.0,2.0,22.0,12.0,3.0,6.324555320336759,4.0,4.5,22.0,12.0,18.24828759089466
11,16,11,0,0.3703703703703697,12.041594578792296,54.589376255824725,5.0,8.06225774829855,13.152946437965905,15.297058540778355,8.06225774829855,33.13608305156178,25.079872407968907,19.0,6.0,14.0,2.0,23.0,13.0,3.0,5.385164807134504,5.0990195135927845,5.5,22.0,12.0,20.223748416156685
12,16,12,0,0.4040404040404033,11.0,54.589376255824725,4.123105625617661,8.246211251235321,14.142135623730951,15.132745950421556,9.0,32.14031735997639,24.020824298928627,18.5,6.0,14.0,1.0,22.0,12.0,3.0,5.385164807134504,5.0990195135927845,5.0,22.0,12.0,20.223748416156685
13,16,13,0,0.4377104377104369,11.0,54.45181356024793,4.123105625617661,8.06225774829855,13.152946437965905,15.132745950421556,8.06225774829855,31.144823004794873,23.08679276123039,17.5,6.0,13.0,1.5,21.5,11.5,3.5,5.0990195135927845,5.0,5.0,22.0,12.0,19.235384061671343
14,16,14,0,0.4713804713804705,9.0,55.57877292636101,5.0990195135927845,9.055385138137417,15.132745950421556,15.132745950421556,8.06225774829855,31.144823004794873,22.090722034374522,17.5,6.0,14.0,2.0,21.0,10.0,3.0,5.0990195135927845,5.0990195135927845,5.0,23.0,12.0,18.24828759089466
15,16,15,0,0.5050505050505042,9.055385138137417,55.57877292636101,5.0990195135927845,9.055385138137417,14.035668847618199,15.132745950421556,8.0,31.144823004794873,22.090722034374522,17.5,6.0,14.0,2.0,21.0,10.0,3.0,5.0990195135927845,5.0990195135927845,5.0,23.0,12.0,20.223748416156685
16,16,16,0,0.5387205387205378,10.0,55.44366510251645,5.0990195135927845,9.219544457292887,13.152946437965905,15.132745950421556,8.0,32.14031735997639,23.021728866442675,18.0,7.0,14.0,2.5,21.5,10.5,2.5,5.0990195135927845,5.0,5.0,23.0,12.0,20.223748416156685
17,16,17,0,0.5723905723905715,9.055385138137417,54.45181356024793,5.0990195135927845,9.055385138137417,14.035668847618199,15.132745950421556,8.0,31.144823004794873,22.090722034374522,17.5,7.0,14.0,2.5,20.5,9.5,2.5,5.0990195135927845,5.0,4.5,23.0,12.0,19.235384061671343
18,16,18,0,0.6060606060606051,9.055385138137417,54.589376255824725,5.0,9.055385138137417,14.035668847618199,15.132745950421556,8.06225774829855,31.144823004794873,22.090722034374522,17.5,6.0,14.0,2.0,21.0,10.0,3.0,5.0990195135927845,4.0,4.5,23.0,12.0,18.24828759089466
19,16,19,0,0.6397306397306387,9.055385138137417,55.44366510251645,5.0,9.055385138137417,14.142135623730951,15.132745950421556,8.0,31.064449134018133,22.02271554554524,17.5,7.0,14.0,2.5,20.5,9.5,3.5,6.082762530298219,5.0990195135927845,5.0,23.0,12.0,20.223748416156685
20,16,20,0,0.6734006734006723,9.0,55.44366510251645,5.0990195135927845,8.246211251235321,14.142135623730951,15.297058540778355,9.0,31.144823004794873,23.021728866442675,18.5,7.0,14.0,1.5,20.5,10.5,3.5,5.385164807134504,5.0990195135927845,5.5,22.0,12.0,21.37755832643195
