,frame_seq,video_id,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures,label_inf
0,205,8,1,6.840166666666675,5.0990195135927845,32.2490309931942,3.0,5.0990195135927845,8.06225774829855,9.055385138137416,8.06225774829855,21.213203435596427,16.1245154965971,13.5,14.0,10.0,4.0,9.0,4.0,2.0,3.0,3.0,3.0,8.0,13.0,10.198039027185567,{},{}
1,206,8,0,6.8735333333333415,3.1622776601683795,30.14962686336267,4.0,6.0,8.06225774829855,9.055385138137416,6.324555320336759,19.235384061671343,13.341664064126334,11.5,14.0,11.0,6.5,6.5,0.5,3.5,4.0,4.0,4.0,9.0,12.0,11.04536101718726,{},{}
2,207,8,0,6.906900000000008,3.0,29.068883707497267,3.1622776601683795,5.0990195135927845,8.0,9.0,6.082762530298219,17.26267650163207,12.16552506059644,10.5,12.0,10.0,5.0,6.0,0.0,2.0,3.0,4.0,4.0,8.0,10.0,11.0,{},{}
3,208,8,0,6.940266666666675,2.0,28.0713376952364,3.0,6.082762530298219,8.06225774829855,8.06225774829855,6.324555320336759,17.26267650163207,11.180339887498947,10.0,11.0,9.0,4.0,7.0,1.0,2.0,4.0,4.0,4.0,9.0,10.0,10.0,{},{}
4,209,8,0,6.973633333333342,2.0,27.073972741361768,3.0,5.0990195135927845,8.06225774829855,8.06225774829855,6.324555320336759,16.278820596099706,11.180339887498947,10.0,11.0,9.0,4.0,6.0,0.0,2.0,3.1622776601683795,3.0,3.0,9.0,9.0,9.055385138137416,{},{}
5,210,8,0,7.0070000000000086,2.0,27.073972741361768,3.0,5.0,8.0,8.06225774829855,5.385164807134504,15.132745950421556,10.198039027185567,9.0,11.0,9.0,5.0,5.0,1.0,2.0,3.0,2.0,2.5,7.0,8.0,7.071067811865476,{},{}
6,211,8,0,7.040366666666675,2.0,25.019992006393608,3.0,4.0,7.0,7.0,5.0990195135927845,14.0356688476182,10.04987562112089,9.0,10.0,9.0,4.5,4.5,0.5,1.5,3.0,3.0,3.0,7.0,8.0,8.06225774829855,{},{}
7,212,8,0,7.073733333333342,2.0,24.020824298928627,2.0,4.0,7.0,7.0,6.324555320336759,14.142135623730953,10.198039027185567,9.0,10.0,9.0,3.5,4.5,0.5,1.5,3.1622776601683795,3.0,3.0,7.0,8.0,8.0,{},{}
8,213,8,0,7.107100000000009,2.0,24.020824298928627,3.0,4.123105625617661,7.071067811865476,7.0,5.385164807134504,14.317821063276352,10.198039027185567,9.0,10.0,9.0,4.5,4.5,0.5,2.5,2.0,3.0,3.0,7.0,8.0,7.071067811865476,{},{}
9,214,8,0,7.140466666666676,2.0,24.020824298928627,3.0,4.123105625617661,6.082762530298219,7.0,5.385164807134504,14.317821063276352,10.198039027185567,9.0,10.0,9.0,4.5,4.5,0.5,2.5,3.0,3.0,3.0,7.0,8.0,7.0,{},{}
10,215,8,0,7.173833333333342,2.0,23.08679276123039,2.0,4.123105625617661,6.0,7.0,5.385164807134504,13.341664064126334,9.219544457292889,8.0,10.0,8.0,4.0,4.0,0.0,2.0,3.1622776601683795,2.0,2.0,7.0,8.0,7.0,{},{}
11,216,8,0,7.207200000000009,2.0,23.021728866442675,2.23606797749979,4.0,6.0,6.0,4.123105625617661,12.16552506059644,8.246211251235321,7.0,9.0,8.0,4.5,3.5,0.5,2.5,2.23606797749979,3.0,3.0,7.0,7.0,8.0,{},{}
12,217,8,0,7.240566666666676,1.4142135623730951,22.02271554554524,3.1622776601683795,4.123105625617661,6.082762530298219,6.0,3.1622776601683795,11.180339887498947,7.071067811865476,6.5,8.0,7.0,4.5,3.5,0.5,2.5,2.0,2.0,2.0,7.0,7.0,6.0,{},{}
13,218,8,0,7.273933333333343,2.23606797749979,20.09975124224178,2.0,4.0,6.0,6.082762530298219,4.123105625617661,12.16552506059644,8.246211251235321,7.0,9.0,7.0,4.0,4.0,0.0,2.0,2.0,2.0,2.5,6.0,6.0,6.0,{},{}
14,219,8,0,7.3073000000000095,2.0,20.024984394500787,2.0,4.123105625617661,6.0,6.0,4.123105625617661,12.16552506059644,8.06225774829855,7.0,9.0,8.0,4.5,3.5,0.5,2.5,3.1622776601683795,2.0,2.0,6.0,6.0,6.0,{},{}
15,220,8,0,7.340666666666676,0.0,16.0312195418814,2.0,4.123105625617661,4.123105625617661,5.0990195135927845,6.324555320336759,12.36931687685298,8.246211251235321,8.0,11.0,10.0,4.5,1.5,2.5,3.5,2.0,2.23606797749979,2.0,6.0,6.0,6.0,{},{}
16,354,8,1,11.811799999999922,4.123105625617661,40.311288741492746,5.0,9.055385138137416,11.180339887498947,12.041594578792296,10.198039027185567,28.284271247461906,19.235384061671343,17.0,14.0,9.0,1.5,16.5,7.5,1.5,1.0,2.8284271247461903,2.0,12.0,20.0,18.24828759089466,{},{}
